Use;Name;Module;Scope;User-Def;Executable;Return-Type;Params defining ReturnVal;ReturnAddSecuringMechanism;ReturnRemoveSecuringMechanism;ReturnSource;vulnerable_for;vulnerable_arguments;function to check for vulnerability;Replacement Function
1;abs;;;false;true;float;;;;;;;;
;acos;;;false;;;;;;;;;;
;acosh;;;false;;;;;;;;;;
;addcslashes;;;false;true;string;1;;;;;;;
;addslashes;;;false;true;string;1;;;;;;;
;aggregate;;;false;;;;;;;;;;
;aggregate_info;;;false;;;;;;;;;;
;aggregate_methods;;;false;;;;;;;;;;
;aggregate_methods_by_list;;;false;;;;;;;;;;
;aggregate_methods_by_regexp;;;false;;;;;;;;;;
;aggregate_properties;;;false;;;;;;;;;;
;aggregate_properties_by_list;;;false;;;;;;;;;;
;aggregate_properties_by_regexp;;;false;;;;;;;;;;
;aggregation_info;;;false;;;;;;;;;;
;amqpchannel;;;false;;;;;;;;;;
;amqpconnection;;;false;;;;;;;;;;
;amqpenvelope;;;false;;;;;;;;;;
;amqpexchange;;;false;;;;;;;;;;
;amqpqueue;;;false;;;;;;;;;;
;apache_child_terminate;;;false;;;;;;;;;;
;apache_get_modules;;;false;;;;;;;;;;
;apache_get_version;;;false;;;;;;;;;;
;apache_getenv;;;false;;;;;;;;;;
;apache_lookup_uri;;;false;;;;;;;;;;
;apache_note;;;false;;;;;;;;;;
;apache_request_headers;;;false;;;;;;;;;;
;apache_reset_timeout;;;false;;;;;;;;;;
;apache_response_headers;;;false;;;;;;;;;;
;apache_setenv;;;false;;;;;;;;;;
;apc_add;;;false;;;;;;;;;;
;apc_bin_dump;;;false;;;;;;;;;;
;apc_bin_dumpfile;;;false;;;;;;;;;;
;apc_bin_load;;;false;;;;;;;;;;
;apc_bin_loadfile;;;false;;;;;;;;;;
;apc_cache_info;;;false;;;;;;;;;;
;apc_cas;;;false;;;;;;;;;;
;apc_clear_cache;;;false;;;;;;;;;;
;apc_compile_file;;;false;;;;;;;;;;
;apc_dec;;;false;;;;;;;;;;
;apc_define_constants;;;false;;;;;;;;;;
;apc_delete;;;false;;;;;;;;;;
;apc_delete_file;;;false;;;;;;;;;;
;apc_exists;;;false;;;;;;;;;;
;apc_fetch;;;false;;;;;;;;;;
;apc_inc;;;false;;;;;;;;;;
;apc_load_constants;;;false;;;;;;;;;;
;apc_sma_info;;;false;;;;;;;;;;
;apc_store;;;false;;;;;;;;;;
;apciterator;;;false;;;;;;;;;;
;apd_breakpoint;;;false;;;;;;;;;;
;apd_callstack;;;false;;;;;;;;;;
;apd_clunk;;;false;;;;;;;;;;
;apd_continue;;;false;;;;;;;;;;
;apd_croak;;;false;;;;;;;;;;
;apd_dump_function_table;;;false;;;;;;;;;;
;apd_dump_persistent_resources;;;false;;;;;;;;;;
;apd_dump_regular_resources;;;false;;;;;;;;;;
;apd_echo;;;false;;;;;;;;;;
